P10.01.00001;Pagamento de Água do escritório/consultório
P10.01.00002;Pagamento de Aluguel do escritório/consultório
P10.01.00003;Pagamento de Condomínio do escritório/consultório
P10.01.00004;Pagamento de Contribuições obrigatórias a entidades de classe
P10.01.00005;Pagamento de Cópia e autenticação de documentos
P10.01.00006;Pagamento de Emolumentos pagos a terceiros
P10.01.00007;Pagamento de Energia do escritório/consultório
P10.01.00008;Pagamento de Gás do escritório/consultório
P10.01.00009;Pagamento de IPTU do escritório/consultório quando pago pelo contribuinte
P10.01.00010;Pagamento de ISS
P10.01.00011;Pagamento de Material de conservação e limpeza do escritório/consultório
P10.01.00012;Pagamento de Material de escritório
P10.01.00013;Pagamento de Remuneração paga a terceiros, com vínculo empregatício, INSS e FGTS
P10.01.00014;Pagamento de Telefone do escritório/consultório
P11.01.00001;Pagamento de Aplicação de capital
P11.01.00002;Pagamento de Aquisição de computador
P11.01.00003;Pagamento de Aquisição de linha telefônica/aparelho telefônico
P11.01.00004;Pagamento de Aquisição de máquina e equipamento
P11.01.00005;Pagamento de Arrendamento mercantil (leasing) de automóveis, equipamentos e máquinas
P11.01.00006;Pagamento de Carnê-leão pago
P11.01.00007;Pagamento de Combustível
P11.01.00008;Pagamento de Conservação e reforma do imóvel do contribuinte
P11.01.00009;Pagamento de Depreciação de instalações e equipamentos
P11.01.00010;Pagamento de Despesas de locomoção e transporte, salvo de representante comercial autônomo
P11.01.00011;Pagamento de Enciclopédia ou livros/revistas em geral
P11.01.00012;Pagamento de Estacionamento
P11.01.00013;Pagamento de IPTU de imóvel residencial
P11.01.00014;Pagamento de Manutenção do veículo
P11.01.00015;Pagamento de Imposto complementar pago
P11.01.00016;Pagamento de Seguro de vida
P11.01.00017;Pagamento de Seguro de imóvel residencial
P11.01.00018;Pagamento de Seguro de carro
